route,date,daytype,rides
1,01/02/2024,W,805
1,01/03/2024,W,904
1,01/04/2024,W,988
1,01/05/2024,W,636
1,01/08/2024,W,917
1,01/09/2024,W,1088
1,01/10/2024,W,1188
1,01/11/2024,W,1214
1,01/12/2024,W,544
1,01/15/2024,W,231
1,01/16/2024,W,549
1,01/17/2024,W,1046
1,01/18/2024,W,1209
1,01/19/2024,W,781
1,01/22/2024,W,1212
1,01/23/2024,W,1499
1,01/24/2024,W,1301
1,01/25/2024,W,1372
1,01/26/2024,W,786
1,01/29/2024,W,1177
1,01/30/2024,W,1362
1,01/31/2024,W,1191
100,01/02/2024,W,318
100,01/03/2024,W,226
100,01/04/2024,W,265
100,01/05/2024,W,229
100,01/08/2024,W,364
100,01/09/2024,W,327
100,01/10/2024,W,408
100,01/11/2024,W,380
100,01/12/2024,W,269
100,01/15/2024,W,94
100,01/16/2024,W,224
100,01/17/2024,W,365
100,01/18/2024,W,326
100,01/19/2024,W,330
100,01/22/2024,W,327
100,01/23/2024,W,473
100,01/24/2024,W,392
100,01/25/2024,W,398
100,01/26/2024,W,398
100,01/29/2024,W,418
100,01/30/2024,W,405
100,01/31/2024,W,343
1001,01/01/2024,U,122
1001,01/02/2024,W,373
1001,01/03/2024,W,339
1001,01/04/2024,W,580
1001,01/05/2024,W,21
1001,01/06/2024,A,5
1001,01/07/2024,U,80
1001,01/08/2024,W,13
1001,01/09/2024,W,4
1001,01/10/2024,W,8
1001,01/11/2024,W,29
1001,01/12/2024,W,32
1001,01/13/2024,A,18
1001,01/14/2024,U,19
1001,01/15/2024,W,147
1001,01/16/2024,W,8
1001,01/17/2024,W,9
1001,01/18/2024,W,6
1001,01/19/2024,W,8
1001,01/20/2024,A,5
1001,01/21/2024,U,5
1001,01/22/2024,W,6
1001,01/23/2024,W,2
1001,01/24/2024,W,4
1001,01/25/2024,W,6
1001,01/26/2024,W,3
1001,01/27/2024,A,10
1001,01/28/2024,U,3
1001,01/29/2024,W,6
1001,01/30/2024,W,12
1001,01/31/2024,W,8
103,01/01/2024,U,583
103,01/02/2024,W,835
103,01/03/2024,W,960
103,01/04/2024,W,1070
103,01/05/2024,W,1000
103,01/06/2024,A,753
103,01/07/2024,U,675
103,01/08/2024,W,1439
103,01/09/2024,W,1160
103,01/10/2024,W,1366
103,01/11/2024,W,1433
103,01/12/2024,W,893
103,01/13/2024,A,674
103,01/14/2024,U,325
103,01/15/2024,W,415
103,01/16/2024,W,583
103,01/17/2024,W,1254
103,01/18/2024,W,1327
103,01/19/2024,W,1110
103,01/20/2024,A,649
103,01/21/2024,U,450
103,01/22/2024,W,1135
103,01/23/2024,W,1389
103,01/24/2024,W,1471
103,01/25/2024,W,1341
103,01/26/2024,W,1343
103,01/27/2024,A,826
103,01/28/2024,U,547
103,01/29/2024,W,1265
103,01/30/2024,W,1357
103,01/31/2024,W,1390
106,01/01/2024,U,143
106,01/02/2024,W,377
106,01/03/2024,W,455
106,01/04/2024,W,467
106,01/05/2024,W,467
106,01/06/2024,A,240
106,01/07/2024,U,138
106,01/08/2024,W,618
106,01/09/2024,W,519
106,01/10/2024,W,729
106,01/11/2024,W,719
106,01/12/2024,W,443
106,01/13/2024,A,211
106,01/14/2024,U,107
106,01/15/2024,W,171
106,01/16/2024,W,217
106,01/17/2024,W,605
106,01/18/2024,W,735
106,01/19/2024,W,514
106,01/20/2024,A,125
106,01/21/2024,U,153
106,01/22/2024,W,699
106,01/23/2024,W,711
106,01/24/2024,W,768
106,01/25/2024,W,769
106,01/26/2024,W,683
106,01/27/2024,A,215
106,01/28/2024,U,163
106,01/29/2024,W,728
106,01/30/2024,W,842
106,01/31/2024,W,860
108,01/02/2024,W,419
108,01/03/2024,W,490
108,01/04/2024,W,512
108,01/05/2024,W,518
108,01/08/2024,W,521
108,01/09/2024,W,729
108,01/10/2024,W,618
108,01/11/2024,W,1897
108,01/12/2024,W,410
108,01/15/2024,W,184
108,01/16/2024,W,294
108,01/17/2024,W,497
108,01/18/2024,W,1829
108,01/19/2024,W,535
108,01/22/2024,W,613
108,01/23/2024,W,643
108,01/24/2024,W,502
108,01/25/2024,W,648
108,01/26/2024,W,674
108,01/29/2024,W,680
108,01/30/2024,W,746
108,01/31/2024,W,598
11,01/01/2024,U,327
11,01/02/2024,W,1009
11,01/03/2024,W,957
11,01/04/2024,W,1196
11,01/05/2024,W,1009
11,01/06/2024,A,611
11,01/07/2024,U,435
11,01/08/2024,W,1410
11,01/09/2024,W,1077
11,01/10/2024,W,1334
11,01/11/2024,W,1451
11,01/12/2024,W,896
11,01/13/2024,A,469
11,01/14/2024,U,224
11,01/15/2024,W,458
11,01/16/2024,W,857
11,01/17/2024,W,1018
11,01/18/2024,W,1358
11,01/19/2024,W,1139
11,01/20/2024,A,580
11,01/21/2024,U,366
11,01/22/2024,W,1334
11,01/23/2024,W,1063
11,01/24/2024,W,1262
11,01/25/2024,W,1422
11,01/26/2024,W,1174
11,01/27/2024,A,605
11,01/28/2024,U,412
11,01/29/2024,W,1653
11,01/30/2024,W,1307
11,01/31/2024,W,1339
111,01/01/2024,U,637
111,01/02/2024,W,1418
111,01/03/2024,W,1480
111,01/04/2024,W,1551
111,01/05/2024,W,1405
111,01/06/2024,A,1182
111,01/07/2024,U,796
111,01/08/2024,W,1818
111,01/09/2024,W,1749
111,01/10/2024,W,2192
111,01/11/2024,W,2049
111,01/12/2024,W,1231
111,01/13/2024,A,1126
111,01/14/2024,U,409
111,01/15/2024,W,1556
111,01/16/2024,W,728
111,01/17/2024,W,1557
111,01/18/2024,W,1582
111,01/19/2024,W,1476
111,01/20/2024,A,942
111,01/21/2024,U,675
111,01/22/2024,W,1905
111,01/23/2024,W,1882
111,01/24/2024,W,1810
111,01/25/2024,W,1951
111,01/26/2024,W,2127
111,01/27/2024,A,978
111,01/28/2024,U,767
111,01/29/2024,W,1908
111,01/30/2024,W,2033
111,01/31/2024,W,1979
111A,01/01/2024,U,115
111A,01/02/2024,W,161
111A,01/03/2024,W,213
111A,01/04/2024,W,203
111A,01/05/2024,W,206
111A,01/06/2024,A,146
111A,01/07/2024,U,174
111A,01/08/2024,W,255
111A,01/09/2024,W,150
111A,01/10/2024,W,224
111A,01/11/2024,W,261
111A,01/12/2024,W,118
111A,01/13/2024,A,114
111A,01/14/2024,U,50
111A,01/15/2024,W,112
111A,01/16/2024,W,114
111A,01/17/2024,W,145
111A,01/18/2024,W,219
111A,01/19/2024,W,128
111A,01/20/2024,A,124
111A,01/21/2024,U,93
111A,01/22/2024,W,1018
111A,01/23/2024,W,172
111A,01/24/2024,W,149
111A,01/25/2024,W,162
111A,01/26/2024,W,194
111A,01/27/2024,A,184
111A,01/28/2024,U,114
111A,01/29/2024,W,212
111A,01/30/2024,W,187
111A,01/31/2024,W,144
112,01/01/2024,U,218
112,01/02/2024,W,639
112,01/03/2024,W,791
112,01/04/2024,W,932
112,01/05/2024,W,758
112,01/06/2024,A,471
112,01/07/2024,U,301
112,01/08/2024,W,1111
112,01/09/2024,W,1210
112,01/10/2024,W,1274
112,01/11/2024,W,1386
112,01/12/2024,W,662
112,01/13/2024,A,437
112,01/14/2024,U,193
112,01/15/2024,W,600
112,01/16/2024,W,430
112,01/17/2024,W,1030
112,01/18/2024,W,1249
112,01/19/2024,W,1255
112,01/20/2024,A,443
112,01/21/2024,U,252
112,01/22/2024,W,1084
112,01/23/2024,W,1036
112,01/24/2024,W,1234
112,01/25/2024,W,1209
112,01/26/2024,W,1132
112,01/27/2024,A,473
112,01/28/2024,U,333
112,01/29/2024,W,1395
112,01/30/2024,W,1202
112,01/31/2024,W,1415
115,01/01/2024,U,638
115,01/02/2024,W,1465
115,01/03/2024,W,1337
115,01/04/2024,W,3172
115,01/05/2024,W,1483
115,01/06/2024,A,1001
115,01/07/2024,U,740
115,01/08/2024,W,1571
115,01/09/2024,W,1502
115,01/10/2024,W,1760
115,01/11/2024,W,2672
115,01/12/2024,W,1265
115,01/13/2024,A,766
115,01/14/2024,U,396
