station_id,stationname,date,daytype,rides
40010,Austin-Forest Park,01/01/2024,U,299
40010,Austin-Forest Park,01/02/2024,W,451
40010,Austin-Forest Park,01/03/2024,W,512
40010,Austin-Forest Park,01/04/2024,W,534
40010,Austin-Forest Park,01/05/2024,W,476
40010,Austin-Forest Park,01/06/2024,A,277
40010,Austin-Forest Park,01/07/2024,U,243
40010,Austin-Forest Park,01/08/2024,W,610
40010,Austin-Forest Park,01/09/2024,W,620
40010,Austin-Forest Park,01/10/2024,W,622
40010,Austin-Forest Park,01/11/2024,W,662
40010,Austin-Forest Park,01/12/2024,W,430
40010,Austin-Forest Park,01/13/2024,A,209
40010,Austin-Forest Park,01/14/2024,U,145
40010,Austin-Forest Park,01/15/2024,W,194
40010,Austin-Forest Park,01/16/2024,W,293
40010,Austin-Forest Park,01/17/2024,W,515
40010,Austin-Forest Park,01/18/2024,W,612
40010,Austin-Forest Park,01/19/2024,W,449
40010,Austin-Forest Park,01/20/2024,A,226
40010,Austin-Forest Park,01/21/2024,U,173
40010,Austin-Forest Park,01/22/2024,W,588
40010,Austin-Forest Park,01/23/2024,W,627
40010,Austin-Forest Park,01/24/2024,W,661
40010,Austin-Forest Park,01/25/2024,W,665
40010,Austin-Forest Park,01/26/2024,W,546
40010,Austin-Forest Park,01/27/2024,A,292
40010,Austin-Forest Park,01/28/2024,U,227
40010,Austin-Forest Park,01/29/2024,W,613
40010,Austin-Forest Park,01/30/2024,W,689
40010,Austin-Forest Park,01/31/2024,W,681
40020,Harlem-Lake,01/01/2024,U,575
40020,Harlem-Lake,01/02/2024,W,1635
40020,Harlem-Lake,01/03/2024,W,1739
40020,Harlem-Lake,01/04/2024,W,1747
40020,Harlem-Lake,01/05/2024,W,1678
40020,Harlem-Lake,01/06/2024,A,1013
40020,Harlem-Lake,01/07/2024,U,758
40020,Harlem-Lake,01/08/2024,W,1770
40020,Harlem-Lake,01/09/2024,W,1770
40020,Harlem-Lake,01/10/2024,W,1835
40020,Harlem-Lake,01/11/2024,W,1953
40020,Harlem-Lake,01/12/2024,W,1247
40020,Harlem-Lake,01/13/2024,A,908
40020,Harlem-Lake,01/14/2024,U,427
40020,Harlem-Lake,01/15/2024,W,740
40020,Harlem-Lake,01/16/2024,W,1095
40020,Harlem-Lake,01/17/2024,W,1585
40020,Harlem-Lake,01/18/2024,W,1845
40020,Harlem-Lake,01/19/2024,W,1516
40020,Harlem-Lake,01/20/2024,A,898
40020,Harlem-Lake,01/21/2024,U,716
40020,Harlem-Lake,01/22/2024,W,1637
40020,Harlem-Lake,01/23/2024,W,1803
40020,Harlem-Lake,01/24/2024,W,1944
40020,Harlem-Lake,01/25/2024,W,1973
40020,Harlem-Lake,01/26/2024,W,1758
40020,Harlem-Lake,01/27/2024,A,1088
40020,Harlem-Lake,01/28/2024,U,783
40020,Harlem-Lake,01/29/2024,W,1762
40020,Harlem-Lake,01/30/2024,W,2014
40020,Harlem-Lake,01/31/2024,W,2005
40030,Pulaski-Lake,01/01/2024,U,440
40030,Pulaski-Lake,01/02/2024,W,709
40030,Pulaski-Lake,01/03/2024,W,805
40030,Pulaski-Lake,01/04/2024,W,855
40030,Pulaski-Lake,01/05/2024,W,815
40030,Pulaski-Lake,01/06/2024,A,494
40030,Pulaski-Lake,01/07/2024,U,487
40030,Pulaski-Lake,01/08/2024,W,900
40030,Pulaski-Lake,01/09/2024,W,788
40030,Pulaski-Lake,01/10/2024,W,989
40030,Pulaski-Lake,01/11/2024,W,875
40030,Pulaski-Lake,01/12/2024,W,663
40030,Pulaski-Lake,01/13/2024,A,464
40030,Pulaski-Lake,01/14/2024,U,281
40030,Pulaski-Lake,01/15/2024,W,365
40030,Pulaski-Lake,01/16/2024,W,486
40030,Pulaski-Lake,01/17/2024,W,631
40030,Pulaski-Lake,01/18/2024,W,741
40030,Pulaski-Lake,01/19/2024,W,682
40030,Pulaski-Lake,01/20/2024,A,455
40030,Pulaski-Lake,01/21/2024,U,411
40030,Pulaski-Lake,01/22/2024,W,796
40030,Pulaski-Lake,01/23/2024,W,773
40030,Pulaski-Lake,01/24/2024,W,853
40030,Pulaski-Lake,01/25/2024,W,903
40030,Pulaski-Lake,01/26/2024,W,859
40030,Pulaski-Lake,01/27/2024,A,579
40030,Pulaski-Lake,01/28/2024,U,475
40030,Pulaski-Lake,01/29/2024,W,803
40030,Pulaski-Lake,01/30/2024,W,868
40030,Pulaski-Lake,01/31/2024,W,851
40040,Quincy/Wells,01/01/2024,U,819
40040,Quincy/Wells,01/02/2024,W,3752
40040,Quincy/Wells,01/03/2024,W,4205
40040,Quincy/Wells,01/04/2024,W,4328
40040,Quincy/Wells,01/05/2024,W,2411
40040,Quincy/Wells,01/06/2024,A,865
40040,Quincy/Wells,01/07/2024,U,687
40040,Quincy/Wells,01/08/2024,W,3752
40040,Quincy/Wells,01/09/2024,W,4310
40040,Quincy/Wells,01/10/2024,W,4929
40040,Quincy/Wells,01/11/2024,W,4958
40040,Quincy/Wells,01/12/2024,W,1738
40040,Quincy/Wells,01/13/2024,A,812
40040,Quincy/Wells,01/14/2024,U,372
40040,Quincy/Wells,01/15/2024,W,765
40040,Quincy/Wells,01/16/2024,W,2148
40040,Quincy/Wells,01/17/2024,W,4056
40040,Quincy/Wells,01/18/2024,W,4625
40040,Quincy/Wells,01/19/2024,W,2427
40040,Quincy/Wells,01/20/2024,A,738
40040,Quincy/Wells,01/21/2024,U,649
40040,Quincy/Wells,01/22/2024,W,3815
40040,Quincy/Wells,01/23/2024,W,4987
40040,Quincy/Wells,01/24/2024,W,5196
40040,Quincy/Wells,01/25/2024,W,5000
40040,Quincy/Wells,01/26/2024,W,2671
40040,Quincy/Wells,01/27/2024,A,894
40040,Quincy/Wells,01/28/2024,U,715
40040,Quincy/Wells,01/29/2024,W,3834
40040,Quincy/Wells,01/30/2024,W,5220
40040,Quincy/Wells,01/31/2024,W,4947
40050,Davis,01/01/2024,U,711
40050,Davis,01/02/2024,W,1398
40050,Davis,01/03/2024,W,1508
40050,Davis,01/04/2024,W,1440
40050,Davis,01/05/2024,W,1486
40050,Davis,01/06/2024,A,1117
40050,Davis,01/07/2024,U,798
40050,Davis,01/08/2024,W,1438
40050,Davis,01/09/2024,W,1421
40050,Davis,01/10/2024,W,1641
40050,Davis,01/11/2024,W,1604
40050,Davis,01/12/2024,W,1133
40050,Davis,01/13/2024,A,888
40050,Davis,01/14/2024,U,403
40050,Davis,01/15/2024,W,716
40050,Davis,01/16/2024,W,899
40050,Davis,01/17/2024,W,1397
40050,Davis,01/18/2024,W,1518
40050,Davis,01/19/2024,W,1317
40050,Davis,01/20/2024,A,951
40050,Davis,01/21/2024,U,840
40050,Davis,01/22/2024,W,1401
40050,Davis,01/23/2024,W,1578
40050,Davis,01/24/2024,W,1675
40050,Davis,01/25/2024,W,1641
40050,Davis,01/26/2024,W,1604
40050,Davis,01/27/2024,A,1145
40050,Davis,01/28/2024,U,847
40050,Davis,01/29/2024,W,1403
40050,Davis,01/30/2024,W,1623
40050,Davis,01/31/2024,W,1687
40060,Belmont-O'Hare,01/01/2024,U,1205
40060,Belmont-O'Hare,01/02/2024,W,2461
40060,Belmont-O'Hare,01/03/2024,W,2577
40060,Belmont-O'Hare,01/04/2024,W,2695
40060,Belmont-O'Hare,01/05/2024,W,2478
40060,Belmont-O'Hare,01/06/2024,A,1565
40060,Belmont-O'Hare,01/07/2024,U,1246
40060,Belmont-O'Hare,01/08/2024,W,2741
40060,Belmont-O'Hare,01/09/2024,W,2726
40060,Belmont-O'Hare,01/10/2024,W,3114
40060,Belmont-O'Hare,01/11/2024,W,3208
40060,Belmont-O'Hare,01/12/2024,W,2143
40060,Belmont-O'Hare,01/13/2024,A,1624
40060,Belmont-O'Hare,01/14/2024,U,920
40060,Belmont-O'Hare,01/15/2024,W,1246
40060,Belmont-O'Hare,01/16/2024,W,1714
40060,Belmont-O'Hare,01/17/2024,W,2867
40060,Belmont-O'Hare,01/18/2024,W,3056
40060,Belmont-O'Hare,01/19/2024,W,2675
40060,Belmont-O'Hare,01/20/2024,A,1586
40060,Belmont-O'Hare,01/21/2024,U,1224
40060,Belmont-O'Hare,01/22/2024,W,2926
40060,Belmont-O'Hare,01/23/2024,W,3040
40060,Belmont-O'Hare,01/24/2024,W,3335
40060,Belmont-O'Hare,01/25/2024,W,3272
40060,Belmont-O'Hare,01/26/2024,W,2958
40060,Belmont-O'Hare,01/27/2024,A,1815
40060,Belmont-O'Hare,01/28/2024,U,1359
40060,Belmont-O'Hare,01/29/2024,W,2891
40060,Belmont-O'Hare,01/30/2024,W,3141
40060,Belmont-O'Hare,01/31/2024,W,3374
40070,Jackson/Dearborn,01/01/2024,U,1169
40070,Jackson/Dearborn,01/02/2024,W,2334
40070,Jackson/Dearborn,01/03/2024,W,2666
40070,Jackson/Dearborn,01/04/2024,W,2637
40070,Jackson/Dearborn,01/05/2024,W,2172
40070,Jackson/Dearborn,01/06/2024,A,1319
40070,Jackson/Dearborn,01/07/2024,U,1049
40070,Jackson/Dearborn,01/08/2024,W,3134
40070,Jackson/Dearborn,01/09/2024,W,3200
40070,Jackson/Dearborn,01/10/2024,W,3511
40070,Jackson/Dearborn,01/11/2024,W,3661
40070,Jackson/Dearborn,01/12/2024,W,1809
40070,Jackson/Dearborn,01/13/2024,A,1224
40070,Jackson/Dearborn,01/14/2024,U,688
40070,Jackson/Dearborn,01/15/2024,W,993
40070,Jackson/Dearborn,01/16/2024,W,1639
40070,Jackson/Dearborn,01/17/2024,W,3113
40070,Jackson/Dearborn,01/18/2024,W,3478
40070,Jackson/Dearborn,01/19/2024,W,2671
40070,Jackson/Dearborn,01/20/2024,A,1313
40070,Jackson/Dearborn,01/21/2024,U,923
40070,Jackson/Dearborn,01/22/2024,W,3340
40070,Jackson/Dearborn,01/23/2024,W,3661
40070,Jackson/Dearborn,01/24/2024,W,3982
40070,Jackson/Dearborn,01/25/2024,W,4002
40070,Jackson/Dearborn,01/26/2024,W,2970
40070,Jackson/Dearborn,01/27/2024,A,2472
40070,Jackson/Dearborn,01/28/2024,U,1238
40070,Jackson/Dearborn,01/29/2024,W,3421
40070,Jackson/Dearborn,01/30/2024,W,3874
40070,Jackson/Dearborn,01/31/2024,W,3971
40080,Sheridan,01/01/2024,U,1242
40080,Sheridan,01/02/2024,W,1751
40080,Sheridan,01/03/2024,W,2042
40080,Sheridan,01/04/2024,W,2214
40080,Sheridan,01/05/2024,W,1854
40080,Sheridan,01/06/2024,A,1644
40080,Sheridan,01/07/2024,U,1047
40080,Sheridan,01/08/2024,W,2307
40080,Sheridan,01/09/2024,W,2290
40080,Sheridan,01/10/2024,W,2614
40080,Sheridan,01/11/2024,W,2683
40080,Sheridan,01/12/2024,W,1809
40080,Sheridan,01/13/2024,A,1463
40080,Sheridan,01/14/2024,U,695
40080,Sheridan,01/15/2024,W,907
40080,Sheridan,01/16/2024,W,1265
40080,Sheridan,01/17/2024,W,2323
40080,Sheridan,01/18/2024,W,2616
40080,Sheridan,01/19/2024,W,2157
40080,Sheridan,01/20/2024,A,1562
40080,Sheridan,01/21/2024,U,1045
40080,Sheridan,01/22/2024,W,2267
40080,Sheridan,01/23/2024,W,2547
40080,Sheridan,01/24/2024,W,2646
40080,Sheridan,01/25/2024,W,2759
40080,Sheridan,01/26/2024,W,2338
40080,Sheridan,01/27/2024,A,1717
40080,Sheridan,01/28/2024,U,1145
40080,Sheridan,01/29/2024,W,2290
40080,Sheridan,01/30/2024,W,2697
40080,Sheridan,01/31/2024,W,2750
40090,Damen-Brown,01/01/2024,U,439
40090,Damen-Brown,01/02/2024,W,1071
40090,Damen-Brown,01/03/2024,W,1195
40090,Damen-Brown,01/04/2024,W,1237
40090,Damen-Brown,01/05/2024,W,1067
40090,Damen-Brown,01/06/2024,A,823
40090,Damen-Brown,01/07/2024,U,566
40090,Damen-Brown,01/08/2024,W,1405
40090,Damen-Brown,01/09/2024,W,1489
40090,Damen-Brown,01/10/2024,W,1632
40090,Damen-Brown,01/11/2024,W,1707
40090,Damen-Brown,01/12/2024,W,1124
40090,Damen-Brown,01/13/2024,A,746
40090,Damen-Brown,01/14/2024,U,188
40090,Damen-Brown,01/15/2024,W,434
40090,Damen-Brown,01/16/2024,W,690
40090,Damen-Brown,01/17/2024,W,1359
40090,Damen-Brown,01/18/2024,W,1577
40090,Damen-Brown,01/19/2024,W,1324
40090,Damen-Brown,01/20/2024,A,785
40090,Damen-Brown,01/21/2024,U,537
40090,Damen-Brown,01/22/2024,W,1403
40090,Damen-Brown,01/23/2024,W,1549
40090,Damen-Brown,01/24/2024,W,1600
40090,Damen-Brown,01/25/2024,W,1660
40090,Damen-Brown,01/26/2024,W,1361
40090,Damen-Brown,01/27/2024,A,962
40090,Damen-Brown,01/28/2024,U,569
40090,Damen-Brown,01/29/2024,W,1447
40090,Damen-Brown,01/30/2024,W,1635
40090,Damen-Brown,01/31/2024,W,1680
40100,Morse,01/01/2024,U,1323
40100,Morse,01/02/2024,W,1874
40100,Morse,01/03/2024,W,2022
40100,Morse,01/04/2024,W,2111
40100,Morse,01/05/2024,W,2084
40100,Morse,01/06/2024,A,1627
40100,Morse,01/07/2024,U,1325
40100,Morse,01/08/2024,W,2185
40100,Morse,01/09/2024,W,2065
40100,Morse,01/10/2024,W,2294
40100,Morse,01/11/2024,W,2339
40100,Morse,01/12/2024,W,1905
40100,Morse,01/13/2024,A,1586
40100,Morse,01/14/2024,U,872
40100,Morse,01/15/2024,W,1073
40100,Morse,01/16/2024,W,1418
40100,Morse,01/17/2024,W,2235
40100,Morse,01/18/2024,W,2408
40100,Morse,01/19/2024,W,2231
40100,Morse,01/20/2024,A,1786
40100,Morse,01/21/2024,U,1393
40100,Morse,01/22/2024,W,2217
40100,Morse,01/23/2024,W,2372
40100,Morse,01/24/2024,W,2512
40100,Morse,01/25/2024,W,2533
40100,Morse,01/26/2024,W,2379
40100,Morse,01/27/2024,A,1839
40100,Morse,01/28/2024,U,1431
40100,Morse,01/29/2024,W,2253
40100,Morse,01/30/2024,W,2373
40100,Morse,01/31/2024,W,2510
40120,35th/Archer,01/01/2024,U,495
40120,35th/Archer,01/02/2024,W,1214
40120,35th/Archer,01/03/2024,W,1357
40120,35th/Archer,01/04/2024,W,1463
40120,35th/Archer,01/05/2024,W,1341
40120,35th/Archer,01/06/2024,A,665
40120,35th/Archer,01/07/2024,U,505
40120,35th/Archer,01/08/2024,W,1442
40120,35th/Archer,01/09/2024,W,1447
40120,35th/Archer,01/10/2024,W,1618
40120,35th/Archer,01/11/2024,W,1731
40120,35th/Archer,01/12/2024,W,1116
40120,35th/Archer,01/13/2024,A,589
40120,35th/Archer,01/14/2024,U,297
40120,35th/Archer,01/15/2024,W,320
40120,35th/Archer,01/16/2024,W,716
40120,35th/Archer,01/17/2024,W,1442
40120,35th/Archer,01/18/2024,W,1559
40120,35th/Archer,01/19/2024,W,1312
40120,35th/Archer,01/20/2024,A,594
40120,35th/Archer,01/21/2024,U,462
40120,35th/Archer,01/22/2024,W,1564
40120,35th/Archer,01/23/2024,W,1626
40120,35th/Archer,01/24/2024,W,1806
40120,35th/Archer,01/25/2024,W,1820
40120,35th/Archer,01/26/2024,W,1560
40120,35th/Archer,01/27/2024,A,685
40120,35th/Archer,01/28/2024,U,512
40120,35th/Archer,01/29/2024,W,1692
40120,35th/Archer,01/30/2024,W,1739
40120,35th/Archer,01/31/2024,W,1893
40130,51st,01/01/2024,U,267
40130,51st,01/02/2024,W,395
40130,51st,01/03/2024,W,418
40130,51st,01/04/2024,W,457
40130,51st,01/05/2024,W,424
40130,51st,01/06/2024,A,312
40130,51st,01/07/2024,U,233
40130,51st,01/08/2024,W,477
40130,51st,01/09/2024,W,454
40130,51st,01/10/2024,W,529
40130,51st,01/11/2024,W,515
40130,51st,01/12/2024,W,377
40130,51st,01/13/2024,A,303
40130,51st,01/14/2024,U,183
40130,51st,01/15/2024,W,225
40130,51st,01/16/2024,W,309
40130,51st,01/17/2024,W,432
40130,51st,01/18/2024,W,463
40130,51st,01/19/2024,W,430
40130,51st,01/20/2024,A,325
40130,51st,01/21/2024,U,241
40130,51st,01/22/2024,W,470
40130,51st,01/23/2024,W,506
40130,51st,01/24/2024,W,479
40130,51st,01/25/2024,W,523
40130,51st,01/26/2024,W,515
40130,51st,01/27/2024,A,337
40130,51st,01/28/2024,U,265
40130,51st,01/29/2024,W,462
40130,51st,01/30/2024,W,511
40130,51st,01/31/2024,W,558
40140,Dempster-Skokie,01/01/2024,U,5
40140,Dempster-Skokie,01/02/2024,W,7
40140,Dempster-Skokie,01/03/2024,W,6
40140,Dempster-Skokie,01/04/2024,W,21
40140,Dempster-Skokie,01/05/2024,W,479
40140,Dempster-Skokie,01/06/2024,A,306
40140,Dempster-Skokie,01/07/2024,U,257
40140,Dempster-Skokie,01/08/2024,W,608
40140,Dempster-Skokie,01/09/2024,W,516
40140,Dempster-Skokie,01/10/2024,W,639
40140,Dempster-Skokie,01/11/2024,W,649
40140,Dempster-Skokie,01/12/2024,W,292
40140,Dempster-Skokie,01/13/2024,A,255
40140,Dempster-Skokie,01/14/2024,U,121
40140,Dempster-Skokie,01/15/2024,W,256
40140,Dempster-Skokie,01/16/2024,W,325
40140,Dempster-Skokie,01/17/2024,W,558
40140,Dempster-Skokie,01/18/2024,W,611
40140,Dempster-Skokie,01/19/2024,W,519
40140,Dempster-Skokie,01/20/2024,A,268
40140,Dempster-Skokie,01/21/2024,U,232
40140,Dempster-Skokie,01/22/2024,W,657
40140,Dempster-Skokie,01/23/2024,W,689
40140,Dempster-Skokie,01/24/2024,W,709
40140,Dempster-Skokie,01/25/2024,W,720
40140,Dempster-Skokie,01/26/2024,W,587
40140,Dempster-Skokie,01/27/2024,A,320
40140,Dempster-Skokie,01/28/2024,U,233
40140,Dempster-Skokie,01/29/2024,W,686
40140,Dempster-Skokie,01/30/2024,W,735
40140,Dempster-Skokie,01/31/2024,W,756
40150,Pulaski-Cermak,01/01/2024,U,368
40150,Pulaski-Cermak,01/02/2024,W,600
40150,Pulaski-Cermak,01/03/2024,W,678
40150,Pulaski-Cermak,01/04/2024,W,685
40150,Pulaski-Cermak,01/05/2024,W,695
40150,Pulaski-Cermak,01/06/2024,A,417
40150,Pulaski-Cermak,01/07/2024,U,381
40150,Pulaski-Cermak,01/08/2024,W,715
40150,Pulaski-Cermak,01/09/2024,W,666
40150,Pulaski-Cermak,01/10/2024,W,754
40150,Pulaski-Cermak,01/11/2024,W,741
40150,Pulaski-Cermak,01/12/2024,W,650
40150,Pulaski-Cermak,01/13/2024,A,419
40150,Pulaski-Cermak,01/14/2024,U,277
40150,Pulaski-Cermak,01/15/2024,W,362
40150,Pulaski-Cermak,01/16/2024,W,497
40150,Pulaski-Cermak,01/17/2024,W,601
40150,Pulaski-Cermak,01/18/2024,W,664
40150,Pulaski-Cermak,01/19/2024,W,657
40150,Pulaski-Cermak,01/20/2024,A,438
40150,Pulaski-Cermak,01/21/2024,U,316
40150,Pulaski-Cermak,01/22/2024,W,722
40150,Pulaski-Cermak,01/23/2024,W,714
40150,Pulaski-Cermak,01/24/2024,W,771
40150,Pulaski-Cermak,01/25/2024,W,778
40150,Pulaski-Cermak,01/26/2024,W,761
40150,Pulaski-Cermak,01/27/2024,A,466
40150,Pulaski-Cermak,01/28/2024,U,355
40150,Pulaski-Cermak,01/29/2024,W,740
40150,Pulaski-Cermak,01/30/2024,W,757
40150,Pulaski-Cermak,01/31/2024,W,781
40160,LaSalle/Van Buren,01/01/2024,U,225
40160,LaSalle/Van Buren,01/02/2024,W,1308
40160,LaSalle/Van Buren,01/03/2024,W,1463
40160,LaSalle/Van Buren,01/04/2024,W,1526
40160,LaSalle/Van Buren,01/05/2024,W,1103
40160,LaSalle/Van Buren,01/06/2024,A,390
40160,LaSalle/Van Buren,01/07/2024,U,245
40160,LaSalle/Van Buren,01/08/2024,W,1454
40160,LaSalle/Van Buren,01/09/2024,W,1797
40160,LaSalle/Van Buren,01/10/2024,W,1865
40160,LaSalle/Van Buren,01/11/2024,W,1897
40160,LaSalle/Van Buren,01/12/2024,W,824
40160,LaSalle/Van Buren,01/13/2024,A,318
40160,LaSalle/Van Buren,01/14/2024,U,115
40160,LaSalle/Van Buren,01/15/2024,W,324
40160,LaSalle/Van Buren,01/16/2024,W,956
40160,LaSalle/Van Buren,01/17/2024,W,1651
40160,LaSalle/Van Buren,01/18/2024,W,1730
40160,LaSalle/Van Buren,01/19/2024,W,1103
40160,LaSalle/Van Buren,01/20/2024,A,329
40160,LaSalle/Van Buren,01/21/2024,U,278
40160,LaSalle/Van Buren,01/22/2024,W,1533
40160,LaSalle/Van Buren,01/23/2024,W,1954
40160,LaSalle/Van Buren,01/24/2024,W,1885
40160,LaSalle/Van Buren,01/25/2024,W,1906
40160,LaSalle/Van Buren,01/26/2024,W,1181
40160,LaSalle/Van Buren,01/27/2024,A,377
40160,LaSalle/Van Buren,01/28/2024,U,255
40160,LaSalle/Van Buren,01/29/2024,W,1513
40160,LaSalle/Van Buren,01/30/2024,W,1901
40160,LaSalle/Van Buren,01/31/2024,W,1932
40170,Ashland-Lake,01/01/2024,U,559
40170,Ashland-Lake,01/02/2024,W,1340
40170,Ashland-Lake,01/03/2024,W,1671
40170,Ashland-Lake,01/04/2024,W,1633
40170,Ashland-Lake,01/05/2024,W,1634
40170,Ashland-Lake,01/06/2024,A,790
40170,Ashland-Lake,01/07/2024,U,680
40170,Ashland-Lake,01/08/2024,W,1698
40170,Ashland-Lake,01/09/2024,W,1789
40170,Ashland-Lake,01/10/2024,W,2194
40170,Ashland-Lake,01/11/2024,W,2011
40170,Ashland-Lake,01/12/2024,W,1422
40170,Ashland-Lake,01/13/2024,A,908
40170,Ashland-Lake,01/14/2024,U,392
40170,Ashland-Lake,01/15/2024,W,636
40170,Ashland-Lake,01/16/2024,W,1053
40170,Ashland-Lake,01/17/2024,W,1670
40170,Ashland-Lake,01/18/2024,W,1853
40170,Ashland-Lake,01/19/2024,W,1712
40170,Ashland-Lake,01/20/2024,A,1019
40170,Ashland-Lake,01/21/2024,U,643
40170,Ashland-Lake,01/22/2024,W,2017
40170,Ashland-Lake,01/23/2024,W,1967
40170,Ashland-Lake,01/24/2024,W,2142
40170,Ashland-Lake,01/25/2024,W,2012
40170,Ashland-Lake,01/26/2024,W,1833
40170,Ashland-Lake,01/27/2024,A,1048
40170,Ashland-Lake,01/28/2024,U,724
40170,Ashland-Lake,01/29/2024,W,1830
40170,Ashland-Lake,01/30/2024,W,2197
40170,Ashland-Lake,01/31/2024,W,2053
40180,Oak Park-Forest Park,01/01/2024,U,177
40180,Oak Park-Forest Park,01/02/2024,W,355
40180,Oak Park-Forest Park,01/03/2024,W,427
40180,Oak Park-Forest Park,01/04/2024,W,420
40180,Oak Park-Forest Park,01/05/2024,W,357
40180,Oak Park-Forest Park,01/06/2024,A,191
40180,Oak Park-Forest Park,01/07/2024,U,148
40180,Oak Park-Forest Park,01/08/2024,W,502
40180,Oak Park-Forest Park,01/09/2024,W,508
40180,Oak Park-Forest Park,01/10/2024,W,569
40180,Oak Park-Forest Park,01/11/2024,W,556
40180,Oak Park-Forest Park,01/12/2024,W,325
40180,Oak Park-Forest Park,01/13/2024,A,162
40180,Oak Park-Forest Park,01/14/2024,U,93
40180,Oak Park-Forest Park,01/15/2024,W,136
40180,Oak Park-Forest Park,01/16/2024,W,224
40180,Oak Park-Forest Park,01/17/2024,W,460
40180,Oak Park-Forest Park,01/18/2024,W,535
40180,Oak Park-Forest Park,01/19/2024,W,396
40180,Oak Park-Forest Park,01/20/2024,A,164
40180,Oak Park-Forest Park,01/21/2024,U,132
40180,Oak Park-Forest Park,01/22/2024,W,489
40180,Oak Park-Forest Park,01/23/2024,W,601
40180,Oak Park-Forest Park,01/24/2024,W,618
40180,Oak Park-Forest Park,01/25/2024,W,611
40180,Oak Park-Forest Park,01/26/2024,W,479
40180,Oak Park-Forest Park,01/27/2024,A,209
40180,Oak Park-Forest Park,01/28/2024,U,137
40180,Oak Park-Forest Park,01/29/2024,W,519
40180,Oak Park-Forest Park,01/30/2024,W,589
40180,Oak Park-Forest Park,01/31/2024,W,623
40190,Sox-35th-Dan Ryan,01/01/2024,U,877
40190,Sox-35th-Dan Ryan,01/02/2024,W,1314
40190,Sox-35th-Dan Ryan,01/03/2024,W,1461
40190,Sox-35th-Dan Ryan,01/04/2024,W,1526
40190,Sox-35th-Dan Ryan,01/05/2024,W,1555
